Sample,Population
LT-pop_01,Buxahatchee
LT-pop_02,Buxahatchee
LT-pop_03,Buxahatchee
LT-pop_04,Buxahatchee
LT-pop_06,Buxahatchee
LT-pop_07,Buxahatchee
LT-pop_08,Buxahatchee
LT-pop_09,Buxahatchee
LT-pop_10,Buxahatchee
LT-pop_64,Buxahatchee
LT-pop_65,Buxahatchee
LT-pop_66,Buxahatchee
LT-pop_67,Buxahatchee
LT-pop_68,Buxahatchee
LT-pop_69,Buxahatchee
LT-pop_70,Buxahatchee
LT-pop_71,Buxahatchee
LT-pop_72,Buxahatchee
LT-pop_73,Buxahatchee
LT-pop_11,Ohatchee
LT-pop_12,Ohatchee
LT-pop_13,Ohatchee
LT-pop_14,Ohatchee
LT-pop_15,Ohatchee
LT-pop_16,Ohatchee
LT-pop_17,Ohatchee
LT-pop_18,Ohatchee
LT-pop_19,Ohatchee
LT-pop_20,Ohatchee
LT-pop_21,Ohatchee
LT-pop_22,Ohatchee
LT-pop_23,Ohatchee
LT-pop_24,Ohatchee
LT-pop_25,Ohatchee
LT-pop_26,Ohatchee
LT-pop_27,Ohatchee
LT-pop_28,Ohatchee
LT-pop_29,Ohatchee
LT-pop_30,Ohatchee
LT-pop_31,Choccolocco
LT-pop_32,Choccolocco
LT-pop_33,Choccolocco
LT-pop_34,Choccolocco
LT-pop_35,Choccolocco
LT-pop_36,Choccolocco
LT-pop_37,Choccolocco
LT-pop_38,Choccolocco
LT-pop_39,Choccolocco
LT-pop_40,Choccolocco
LT-pop_42,Choccolocco
LT-pop_43,Choccolocco
LT-pop_44,Choccolocco
LT-pop_45,Choccolocco
LT-pop_46,Choccolocco
LT-pop_47,Choccolocco
LT-pop_48,Choccolocco
LT-pop_49,Choccolocco
LT-pop_50,Choccolocco
LT-pop_51,Coosa
LT-pop_52,Coosa
LT-pop_53,Coosa
LT-pop_54,Coosa
LT-pop_55,Coosa
LT-pop_56,Coosa
LT-pop_57,Coosa
LT-pop_58,Coosa
LT-pop_59,Coosa
LT-pop_60,Coosa
LT-pop_61,Coosa
LT-pop_62,Coosa
LT-pop_63,Coosa
